Layer Category, Kernel Name, Kernel Efficiency, Kernel Latency
ACTIVATION, Sigmoid, 4.718, 4715
ACTIVATION, ELU, 0.441, 5067
ACTIVATION, HardSigmoid, 0.547, 4956
ACTIVATION, Softmax, 0.836, 10043
ACTIVATION, HardSwish, null, null
ACTIVATION, Clamp, 0.855, 3319
ACTIVATION, FakeQuantize, null, null
ACTIVATION, QuantizeCast, null, null
ACTIVATION, Tanh, 0.742, 4432
ACTIVATION, Sin, 0.017, 5192
ACTIVATION, Cos, null, null
ACTIVATION, Sqrt, 0.742, 3914
ACTIVATION, Sinh, null, null
ACTIVATION, Cosh, null, null
ACTIVATION, Asinh, null, null
ACTIVATION, Acosh, null, null
ACTIVATION, Abs, null, null
ACTIVATION, Atan, null, null
ACTIVATION, Asin, null, null
ACTIVATION, Acos, null, null
ACTIVATION, Atanh, null, null
ACTIVATION, Log, 0.742, 3824
ACTIVATION, Selu, 0.397, 5138
ACTIVATION, Gelu, null, null
ACTIVATION, Exp, 0.742, 3831
ACTIVATION, Floor, 0.010, 8482
ACTIVATION, Round, null, null
ACTIVATION, Mish, 0.291, 6349
ACTIVATION, Erf, 0.069, 27428
ACTIVATION, Negative, null, null
ACTIVATION, Sign, null, null
ACTIVATION, ScaleShift, null, null
ACTIVATION, YuvToRgb, null, null
ACTIVATION, SoftPlus, null, null
ACTIVATION, Swish, null, null
ACTIVATION, MVN, 0.83, 2810
ACTIVATION, Ceiling, 0.306, 8391
ELEMENTWISE, Power, 0.004, 15829
ELEMENTWISE, Add, null, null
ELEMENTWISE, Divide, 0.012, 11587
ELEMENTWISE, SquaredDiff, null, null
ELEMENTWISE, FloorMod, null, null
ELEMENTWISE, Less, null, null
ELEMENTWISE, LessEqual, null, null
ELEMENTWISE, Greater, null, null
ELEMENTWISE, GreaterEqual, null, null
ELEMENTWISE, LogicalOr, 0.008, 13192
ELEMENTWISE, LogicalNot, null, null
ELEMENTWISE, LogicalXor, 0.008, 13036
ELEMENTWISE, Multiply, null, null
ELEMENTWISE, And, 0.045, 30591
ELEMENTWISE, Minimum, 0.015, 11047
ELEMENTWISE, Maximum, 0.015, 11000
ELEMENTWISE, Subtract, 0.789, 12946
ELEMENTWISE, NotEqual, null, null
ELEMENTWISE, Equal, null, null
DATA_MOVEMENT, Roll, null, null
DATA_MOVEMENT, ShuffleChannels, null, null
DATA_MOVEMENT, Gather, null, null
DATA_MOVEMENT, ScatterNDUpdate, null, null
DATA_MOVEMENT, ScatterUpdate, null, null
DATA_MOVEMENT, Reshape, null, null
DATA_MOVEMENT, Squeeze, null, null
DATA_MOVEMENT, Unsqueeze, null, null
DATA_MOVEMENT, Broadcast, null, null
DATA_MOVEMENT, Transpose, null, null
DATA_MOVEMENT, Concat, null, null
DATA_MOVEMENT, AffineReshape, null, null
DATA_MOVEMENT, PermuteQuantize, null, null
DATA_MOVEMENT, DepthToSpace, null, null
DATA_MOVEMENT, SpaceToDepthOp, null, null
DATA_MOVEMENT, MemPermute, null, null
DATA_MOVEMENT, PermuteCast, null, null
