kernel_name,arithmetic_operations_per_32_outputs,memory_operations_per_32_outputs,unaligned_by_nature,bw_derate,code_derate,scalar_cost_per_channel,entry_cost_cc,simple_heuristic
GenericSwLayer,,,0,0.7,0.8,0.0,1000,1
ExternalKernel,,,0,0.7,0.8,0.0,1000,1
Exp,1.0,2.0,0,0.7,0.8,0.0,1000,0
Gather,1.0,36.0,0,0.7,0.8,0.0,1000,0
GatherElements,1.0,36.0,0,0.7,0.8,0.0,1000,0
GatherND,1.0,36.0,0,0.7,0.8,0.0,1000,0
GatherTree,1.0,36.0,0,0.7,0.8,0.0,1000,0
ScatterUpdate,1.0,36.0,0,0.7,0.8,0.0,1000,0
ScatterElementsUpdate,1.0,36.0,0,0.7,0.8,0.0,1000,0
Tanh,1.0,2.0,0,0.7,0.8,0.0,1000,0
HSwish,,,0,0.7,0.8,0.0,1000,1
HSigmoid,,,0,0.7,0.8,0.0,1000,1
Sigmoid,1.0,2.0,0,0.7,0.8,0.0,1000,0
HardSigmoid,4.0,2.0,0,0.7,0.8,0.0,1000,0
GridSample,96.0,3.0,0,0.7,0.8,0.0,1000,0
SoftMax,5.0,5.0,0,0.7,0.8,50.0,1000,0
LogSoftmax,6.0,5.0,0,0.7,0.8,50.0,1000,0
LoopSelect,,,0,0.7,0.8,0.0,1000,1
Interpolate,9.0,4.0,1,0.7,0.8,0.0,1000,0
ScatterNDUpdate,,,0,0.7,0.8,0.0,1000,1
Elu,,,0,0.7,0.8,0.0,1000,1
Clamp,1.0,3.0,0,0.7,0.8,0.0,1000,0
FullyConnected,2.0,2.0,0,0.7,0.8,0.0,1000,0
MatMul,3.0,3.0,0,0.7,0.8,0.0,1000,0
Sqrt,32.0,2.0,0,0.7,0.8,0.0,1000,0
Erf,2.0,2.0,0,0.7,0.8,0.0,1000,0
Ceiling,,,0,0.7,0.8,0.0,1000,1
Divide,32.0,3.0,0,0.7,0.8,0.0,1000,0
Multiply,1.0,3.0,0,0.7,0.9,0.0,1000,0
Add,1.0,3.0,0,0.7,0.9,0.0,1000,0
Subtract,1.0,3.0,0,0.7,0.8,0.0,1000,0
Minimum,1.0,3.0,0,0.7,0.8,0.0,1000,0
Maximum,1.0,3.0,0,0.7,0.8,0.0,1000,0
Power,32.0,3.0,0,0.7,0.8,0.0,1000,0
Equal,1.0,3.0,0,0.7,0.8,0.0,1000,0
FloorMod,2.0,2.0,0,0.7,0.8,0.0,1000,0
Mod,32.0,2.0,0,0.7,0.8,0.0,1000,0
Greater,1.0,2.5,0,0.7,0.8,0.0,1000,0
GreaterEqual,1.0,2.5,0,0.7,0.8,0.0,1000,0
Less,1.0,2.5,0,0.7,0.8,0.0,1000,0
LessEqual,1.0,2.5,0,0.7,0.8,0.0,1000,0
LogicalOr,1.0,3.0,0,0.7,0.8,0.0,1000,0
LogicalXor,1.0,3.0,0,0.7,0.8,0.0,1000,0
LogicalNot,1.0,3.0,0,0.7,0.8,0.0,1000,0
And,1.0,3.0,0,0.7,0.8,0.0,1000,0
BitwiseAnd,1.0,3.0,0,0.7,0.8,0.0,1000,0
BitwiseOr,1.0,3.0,0,0.7,0.8,0.0,1000,0
BitwiseXor,1.0,3.0,0,0.7,0.8,0.0,1000,0
BitwiseNot,1.0,3.0,0,0.7,0.8,0.0,1000,0
NotEqual,1.0,2.5,0,0.7,0.8,0.0,1000,0
Mish,,,0,0.7,0.8,0.0,1000,1
MVN,5.0,3.0,0,0.7,0.8,100.0,1000,0
MVN1SumOp,3.0,1.0,0,0.7,0.8,50.0,1000,0
MVN1MeanVar,32.0,1.0,0,0.7,0.8,0.0,1000,0
MVN1Normalize,2.0,2.0,0,0.7,0.8,0.0,1000,0
MVN6,128.0,1.0,0,0.7,0.8,0.0,1000,0
MemPermute,1.0,64.0,0,0.7,0.8,0.0,1000,0
LRN,,,0,0.7,0.8,0.0,1000,1
GroupNormalization,,,0,0.7,0.8,0.0,1000,1
ReduceMin,,,0,0.7,0.8,0.0,1000,1
ReduceSum,,,0,0.7,0.8,0.0,1000,1
RegionYolo,,,0,0.7,0.8,0.0,1000,1
ExtractImagePatches,,,0,0.7,0.8,0.0,1000,1
Pad,,,0,0.7,0.8,0.0,1000,1
AvgPool,,,0,0.7,0.8,0.0,1000,1
AvgPool16,,,0,0.7,0.8,0.0,1000,1
AdaptiveAvgPool,,,0,0.7,0.8,0.0,1000,1
AdaptiveMaxPool,,,0,0.7,0.8,0.0,1000,1
FakeQuantize,2.0,2.0,0,0.7,0.8,0.0,1000,0
FakeConvert,2.0,2.0,0,0.7,0.8,0.0,1000,0
Quantize,2.0,2.0,0,0.7,0.8,0.0,1000,0
Dequantize,2.0,2.0,0,0.7,0.8,0.0,1000,0
DynamicQuantize,100.0,100.0,0,0.7,0.8,0.0,1000,0
DynamicDequantize,100.0,100.0,0,0.7,0.8,0.0,1000,0
DepthToSpace,,,0,0.7,0.8,0.0,1000,1
SpaceToDepth,,,0,0.7,0.8,0.0,1000,1
Selu,2.0,2.0,0,0.7,0.8,0.0,1000,0
LeakyRelu,2.0,2.0,0,0.7,0.8,0.0,1000,0
