kernel_type,kernel_name,slope,intercept,scalar_offset,unroll_offset,unroll_size,vector_size,DPU_frequency,SHV_frequency
ShaveModel1on1,sigmoid,0.0000804065,2.387756553,0.052,0.620329562,16,8,1300,975
ShaveModel1on1,hardsigmoid,0.000698801,2.465430422,0.026,0.341611241,8,8,1300,975
ShaveModel1on1,elu,0.000871621,1.953597575,0.078,0.353543511,8,8,1300,975
ShaveModel1on1,hardswish,0.000289168,1.634012627,0,-0.001360682,8,8,1300,975
ShaveModel1on1,gelu,0.001972286,6.311935163,0,4.416491746,8,8,1300,975
ShaveModel1on1,log,0.000115265,10.23292413,0,8.750768368,8,8,1300,975
ShaveModel1on1,selu,0.000000122,1.437338056,0.182,0.135340007,8,8,1300,975
ShaveModel1on1,mish,0.0000000168,1.495770479,-0.104,0.089770748,8,8,1300,975
ShaveModel1on1,erf,0.000000223,1.514902943,0.156,-0.073093491,8,8,1300,975
ShaveModel1on1,swish,-0.00000499,5.646692934,0.469,4.006613074,8,8,1300,975
ShaveModel1on1,ceiling,-0.000001,2.08607396,-0.26,0.316057911,8,8,1300,975
ShaveModel1on1,exp,-0.0000000164,1.531026419,0.052,-0.004973843,8,8,1300,975
ShaveModel1on1,sin,0.0000154,3.603369369,1.719,0,1,8,1300,975
ShaveModel1on1,cos,-0.00000655,7.150976911,-1.484,0,1,8,1300,975
ShaveModel1on1,tan,0.00011713,5.776015676,-3.777,0,1,1,1300,975
ShaveModel1on1,round,-0.00000131,5.132972681,-0.026,2.815951736,8,8,1300,975
ShaveModel1on1,clamp,0.000000595,3.168768351,1.51,0,1,8,1300,975
ShaveModel1on1,sqrt,0.000519715,0.861107187,-0.026,-0.87457738,8,8,1300,975
ShaveModel1on1,relu,0.00000165,3.288948922,-0.026,1.466975311,8,8,1300,975
ShaveModel1on1,prelu,0.000323021,-0.088624124,0,-1.827455793,8,8,1300,975
ShaveModel1on1,leakyrelu,0.00000601,2.910033478,3.776,1.270129631,8,8,1300,975
ShaveModel1on1,abs,0.000389187,2.108580328,0.026,0.370807323,8,8,1300,975
ShaveModel1on1,floor,0.001395586,-8.580254719,0,-10.32792534,8,8,1300,975
ShaveModel1on1,softplus,0.00000665,11.39079187,0.052,6.599898275,8,8,1300,975
ShaveModel1on1,tanh,8.034451188216258e-05,2.428907879927232,0.0,0.7134789043074612,16,8,1300,975
ShaveModel1on1,sign,0.006393600251181249,4.517927663998816,-0.05200000000000049,-0.17077473198228432,8,8,1300,975
ShaveModel1on1,hsigmoid,1.8944921427634646e-06,3.648570402823336,0.0,2.1126007146976202,8,8,1300,975
ShaveModel1on1,hswish,0.00029161123211131525,0.26891444156336664,-0.0259999999999998,-1.7834197787228523,8,8,1300,975
ShaveModel2on1,power,0.08525553755251329,-46.169950434244456,575.625,0,1,1,1300,975
ShaveModel2on1,less,0.03418518100005741,6.833112861191829,-75.80800000000002,0,1,1,1300,975
ShaveModel2on1,div,-7.580200580006094e-05,473.4512301889028,35.783,0,1,1,1300,975
ShaveModel2on1,greater,-4.167203642871336e-05,63.240619900367555,-3.75,0,1,1,1300,975
ShaveModel2on1,logicalor,0.036241797371333546,6.853594076847906,0.05199999999967986,0,1,8,1300,975
ShaveModel2on1,logicalxor,0.03598343538241444,6.8663030036906685,0.12999999999988177,0,1,8,1300,975
ShaveModel2on1,logicaland,0.03624197704243016,6.855045454871653,-0.07800000000042928,0,1,8,1300,975
ShaveModel2on1,min,0.03418530788636715,9.191551705795167,-0.1559999999999775,0,1,8,1300,975
ShaveModel2on1,max,0.03418569389741702,9.169649505250037,-0.1819999999999986,0,1,8,1300,975
