operation_name,device,prefetch_cycles
GenericSwLayer,NPU_5_0,0
ExternalKernel,NPU_5_0,0
Exp,NPU_5_0,0
Gather,NPU_5_0,0
GatherElements,NPU_5_0,0
GatherND,NPU_5_0,0
GatherTree,NPU_5_0,0
ScatterUpdate,NPU_5_0,0
ScatterElementsUpdate,NPU_5_0,0
Tanh,NPU_5_0,0
HSwish,NPU_5_0,0
HSigmoid,NPU_5_0,0
Sigmoid,NPU_5_0,0
HardSigmoid,NPU_5_0,0
GridSample,NPU_5_0,0
SoftMax,NPU_5_0,0
LogSoftmax,NPU_5_0,0
LoopSelect,NPU_5_0,0
Interpolate,NPU_5_0,0
ScatterNDUpdate,NPU_5_0,0
Elu,NPU_5_0,0
Clamp,NPU_5_0,0
FullyConnected,NPU_5_0,0
MatMul,NPU_5_0,0
Sqrt,NPU_5_0,0
Erf,NPU_5_0,0
Ceiling,NPU_5_0,0
Divide,NPU_5_0,0
Multiply,NPU_5_0,0
Add,NPU_5_0,0
Subtract,NPU_5_0,0
Minimum,NPU_5_0,0
Maximum,NPU_5_0,0
Power,NPU_5_0,0
Equal,NPU_5_0,0
FloorMod,NPU_5_0,0
Mod,NPU_5_0,0
Greater,NPU_5_0,0
GreaterEqual,NPU_5_0,0
Less,NPU_5_0,0
LessEqual,NPU_5_0,0
LogicalOr,NPU_5_0,0
LogicalXor,NPU_5_0,0
LogicalNot,NPU_5_0,0
And,NPU_5_0,0
BitwiseAnd,NPU_5_0,0
BitwiseOr,NPU_5_0,0
BitwiseXor,NPU_5_0,0
BitwiseNot,NPU_5_0,0
NotEqual,NPU_5_0,0
Mish,NPU_5_0,0
MVN,NPU_5_0,0
MVN1SumOp,NPU_5_0,0
MVN1MeanVar,NPU_5_0,0
MVN1Normalize,NPU_5_0,0
MVN6,NPU_5_0,0
MemPermute,NPU_5_0,0
LRN,NPU_5_0,0
GroupNormalization,NPU_5_0,0
ReduceMin,NPU_5_0,0
ReduceSum,NPU_5_0,0
RegionYolo,NPU_5_0,0
ExtractImagePatches,NPU_5_0,0
Pad,NPU_5_0,0
AvgPool,NPU_5_0,0
AvgPool16,NPU_5_0,0
AdaptiveAvgPool,NPU_5_0,0
AdaptiveMaxPool,NPU_5_0,0
FakeQuantize,NPU_5_0,0
FakeConvert,NPU_5_0,0
Quantize,NPU_5_0,0
Dequantize,NPU_5_0,0
DynamicQuantize,NPU_5_0,0
DynamicDequantize,NPU_5_0,0
DepthToSpace,NPU_5_0,0
SpaceToDepth,NPU_5_0,0
Selu,NPU_5_0,0
LeakyRelu,NPU_5_0,0
Swish,NPU_5_0,0
ReLU,NPU_5_0,0
Negative,NPU_5_0,0
StridedSlice,NPU_5_0,0
ReverseSequence,NPU_5_0,0
YuvToRgb,NPU_5_0,0
RandomUniform,NPU_5_0,0
ROIPooling,NPU_5_0,0
ROIAlign,NPU_5_0,0
Roll,NPU_5_0,0
OneHot,NPU_5_0,0
ReorgYolo,NPU_5_0,0
Proposal,NPU_5_0,0
Reverse,NPU_5_0,0
PSROIPooling,NPU_5_0,0
NonMaxSuppression,NPU_5_0,0
CTCGreedyDecoder,NPU_5_0,0
Sin,NPU_5_0,0
Cos,NPU_5_0,0
Sinh,NPU_5_0,0
Cosh,NPU_5_0,0
Floor,NPU_5_0,0
Sign,NPU_5_0,0
Tile,NPU_5_0,0
Tan,NPU_5_0,0
Asin,NPU_5_0,0
Acos,NPU_5_0,0
Atan,NPU_5_0,0
Asinh,NPU_5_0,0
Acosh,NPU_5_0,0
Atanh,NPU_5_0,0
ExperimentalDetectronROIFeatureExtractor,NPU_5_0,0
DetectionOutputNormalize,NPU_5_0,0
DetectionOutputDecodeBoxes,NPU_5_0,0
DetectionOutputSort,NPU_5_0,0
DetectionOutputNmsCaffe,NPU_5_0,0
DetectionOutputCollectResults,NPU_5_0,0
PermuteQuantize,NPU_5_0,0
Round,NPU_5_0,0
Log,NPU_5_0,0
NormalizeL2,NPU_5_0,0
CumSum,NPU_5_0,0
EmbeddingBagOffsetsSum,NPU_5_0,0
SoftPlus,NPU_5_0,0
EmbeddingBagPackedSum,NPU_5_0,0
Eye,NPU_5_0,0
GRUSequence,NPU_5_0,0
GRUSequenceFirstPart,NPU_5_0,0
GRUSequenceLastPart,NPU_5_0,0
GRUGates,NPU_5_0,0
LSTMCell,NPU_5_0,0
LSTMGates,NPU_5_0,0
LSTMSequence,NPU_5_0,0
CTCGreedyDecoderSeqLen,NPU_5_0,0
EmbeddingSegmentsSum,NPU_5_0,0
SquaredDifference,NPU_5_0,0
MaxPool,NPU_5_0,0
MaxPool8,NPU_5_0,0
Abs,NPU_5_0,0
Gelu,NPU_5_0,0
Bucketize,NPU_5_0,0
Convolution,NPU_5_0,0
GroupConvolution,NPU_5_0,0
DFT,NPU_5_0,0
RDFTUncut,NPU_5_0,0
IDFT,NPU_5_0,0
IRDFTLastAxis,NPU_5_0,0
ConditionalCopy,NPU_5_0,0
Accumulate,NPU_5_0,0
NonZero,NPU_5_0,0
Range,NPU_5_0,0
ShapeOf,NPU_5_0,0
PermuteCast,NPU_5_0,0
DynamicReshape,NPU_5_0,0
DynamicTile,NPU_5_0,0
Concat,NPU_5_0,0
Inverse,NPU_5_0,0
DeformableConvolution,NPU_5_0,0
DynamicExpand,NPU_5_0,0
PopulateWeightTable,NPU_5_0,0
DynamicDataMask,NPU_5_0,0
SDPA,NPU_5_0,0
FlashSDPA,NPU_5_0,0
SDPAExtended,NPU_5_0,0
